Title,Genre,Year,Certification,Rating,Director,Actors
Indiana Jones and the Dial of Destiny,Action,2023,PG-13,6.7,James Mangold,"Harrison Ford,Phoebe Waller-Bridge,Antonio Banderas,Karen Alle"
The Pacific,Action,2010,TV-MA,8.3,,"James Badge Dale,Joseph Mazzello,Jon Seda,Ashton Holme"
The Hunger Games: The Ballad of Songbirds and Snakes,Action,2023,PG-13,,Francis Lawrence,"Rachel Zegler,Tom Blyth,Viola Davis,Dexter Sol Ansel"
Gen V,Comedy,2023,TV-MA,8.0,,"Jaz Sinclair,Chance Perdomo,Lizze Broadway,Maddie Phillip"
Totally Killer,Comedy,2023,R,6.6,Nahnatchka Khan,"Kiernan Shipka,Olivia Holt,Charlie Gillespie,Lochlyn Munr"
Sex Education,Comedy,2019,TV-MA,8.3,,"Asa Butterfield,Gillian Anderson,Ncuti Gatwa,Emma Macke"
Haunted Mansion,Comedy,2023,PG-13,6.1,Justin Simien,"LaKeith Stanfield,Rosario Dawson,Owen Wilson,Tiffany Haddis"
Only Murders in the Building,Comedy,2021,TV-MA,8.1,,"Steve Martin,Martin Short,Selena Gomez,Michael Cyril Creighto"
Our Flag Means Death,Comedy,2022,TV-MA,7.8,,"Rhys Darby,Joel Fry,Samson Kayo,Matthew Mahe"
One Piece,Comedy,2023,TV-14,8.4,,"Iñaki Godoy,Emily Rudd,Mackenyu,Vincent Rega"
Suits,Comedy,2011,TV-14,8.4,,"Gabriel Macht,Patrick J. Adams,Meghan Markle,Sarah Raffert"
The Boys,Comedy,2019,TV-MA,8.7,,"Karl Urban,Jack Quaid,Antony Starr,Erin Moriart"
Barbie,Comedy,2023,PG-13,7.0,Greta Gerwig,"Margot Robbie,Ryan Gosling,Issa Rae,Kate McKinno"
Goosebumps,Comedy,2023,TV-14,6.6,,"Zack Morris,Isa Briones,Miles McKenna,Ana Yi Pui"
Frasier,Comedy,2023,,7.1,,"Kelsey Grammer,Jack Cutmore-Scott,Jess Salgueiro,Anders Keit"
The Bear,Comedy,2022,TV-MA,8.6,,"Jeremy Allen White,Ebon Moss-Bachrach,Ayo Edebiri,Lionel Boyc"
The Wonderful Story of Henry Sugar,Comedy,2023,PG,7.4,Wes Anderson,"Ralph Fiennes,Benedict Cumberbatch,Dev Patel,Ben Kingsle"
Hocus Pocus,Comedy,1993,PG,6.9,Kenny Ortega,"Bette Midler,Sarah Jessica Parker,Kathy Najimy,Omri Kat"
Shameless,Comedy,2011,TV-MA,8.5,,"Emmy Rossum,William H. Macy,Ethan Cutkosky,Jeremy Allen Whit"
Casper,Comedy,1995,PG,6.1,Brad Silberling,"Bill Pullman,Christina Ricci,Cathy Moriarty,Eric Idl"
One Piece,Comedy,1999,TV-14,8.9,,"Mayumi Tanaka,Akemi Okamura,Laurent Vernin,Tony Bec"
Elemental,Comedy,2023,PG,7.0,Peter Sohn,"Leah Lewis,Mamoudou Athie,Ronnie Del Carmen,Shila Omm"
Strays,Comedy,2023,R,6.3,Josh Greenbaum,"Will Ferrell,Jamie Foxx,Isla Fisher,Randall Par"
Wonka,Comedy,2023,PG,,Paul King,"Timothée Chalamet,Olivia Colman,Hugh Grant,Keegan-Michael Ke"
Young Sheldon,Comedy,2017,TV-PG,7.6,,"The Big Bang Theory,Iain Armitage,Zoe Perry,Lance Barber,Montana Jorda"
Succession,Comedy,2018,TV-MA,8.9,,"Nicholas Braun,Brian Cox,Kieran Culkin,Peter Friedma"
Rick and Morty,Comedy,2013,TV-MA,9.1,,"Chris Parnell,Spencer Grammer,Sarah Chalke,Justin Roilan"
OMG 2,Comedy,2023,UA,7.8,Amit Rai,"Akshay Kumar,Pankaj Tripathi,Yami Gautam,Pawan Malhotr"
The Office,Comedy,2005,TV-14,9.0,,"Steve Carell,Jenna Fischer,John Krasinski,Rainn Wilso"
Frasier,Comedy,1993,TV-PG,8.2,,"Kelsey Grammer,Jane Leeves,David Hyde Pierce,Peri Gilpi"
Ted Lasso,Comedy,2020,TV-MA,8.8,,"Jason Sudeikis,Brett Goldstein,Brendan Hunt,Nick Mohamme"
Dumb Money,Comedy,2023,R,7.1,Craig Gillespie,"Paul Dano,Pete Davidson,Vincent D'Onofrio,America Ferrer"
Gilmore Girls,Comedy,2000,TV-PG,8.2,,"Lauren Graham,Alexis Bledel,Keiko Agena,Scott Patterso"
Everything Now,Comedy,2023,TV-MA,6.7,,"Sophie Wilde,Lauryn Ajufo,Harry Cadby,Noah Thoma"
Chucky,Comedy,2021,TV-MA,7.3,,"Zackary Arthur,Bjorgvin Arnarson,Alyvia Alyn Lind,Brad Douri"
No Hard Feelings,Comedy,2023,R,6.4,Gene Stupnitsky,"Jennifer Lawrence,Andrew Barth Feldman,Laura Benanti,Matthew Broderic"
